cddept,inseecommuneprinc,nomcommuneprinc
080,76507,PONTS-ET-MARAIS
080,80001,ABBEVILLE
080,80002,ABLAINCOURT-PRESSOIR
080,80003,ACHEUX-EN-AMIENOIS
080,80004,ACHEUX-EN-VIMEU
080,80005,AGENVILLE
080,80006,AGENVILLERS
080,80008,AIGNEVILLE
080,80009,AILLY-LE-HAUT-CLOCHER
080,80010,AILLY-SUR-NOYE
080,80011,AILLY-SUR-SOMME
080,80013,AIRAINES
080,80014,AIZECOURT-LE-BAS
080,80015,AIZECOURT-LE-HAUT
080,80016,ALBERT
080,80017,ALLAINES
080,80018,ALLENAY
080,80019,ALLERY
080,80020,ALLONVILLE
080,80021,AMIENS
080,80022,ANDAINVILLE
080,80023,ANDECHY
080,80024,ARGOEUVES
080,80025,ARGOULES
080,80026,ARGUEL
080,80027,ARMANCOURT
080,80028,ARQUEVES
080,80029,ARREST
080,80030,ARRY
080,80031,ARVILLERS
080,80032,ASSAINVILLERS
080,80033,ASSEVILLERS
080,80034,ATHIES
080,80035,AUBERCOURT
080,80036,AUBIGNY
080,80037,AUBVILLERS
080,80038,AUCHONVILLERS
080,80039,AULT
080,80040,AUMATRE
080,80041,AUMONT
080,80042,AUTHEUX
080,80043,AUTHIE
080,80044,AUTHIEULE
080,80045,AUTHUILLE
080,80046,AVELESGES
080,80047,AVELUY
080,80048,AVESNES-CHAUSSOY
080,80049,AYENCOURT
080,80050,BACOUEL-SUR-SELLE
080,80051,BAILLEUL
080,80052,BAIZIEUX
080,80053,BALATRE
080,80054,BARLEUX
080,80055,BARLY
080,80056,BAVELINCOURT
080,80057,BAYENCOURT
080,80058,BAYONVILLERS
080,80059,BAZENTIN
080,80060,BEALCOURT
080,80061,BEAUCAMPS-LE-JEUNE
080,80062,BEAUCAMPS-LE-VIEUX
080,80063,BEAUCHAMPS
080,80064,BEAUCOURT-EN-SANTERRE
080,80065,BEAUCOURT-SUR-L'ANCRE
080,80066,BEAUCOURT-SUR-L'HALLUE
080,80067,BEAUFORT-EN-SANTERRE
080,80068,BEAUMETZ
080,80069,BEAUMONT-HAMEL
080,80070,BEAUQUESNE
080,80071,BEAUVAL
080,80074,BECQUIGNY
080,80076,BEHEN
080,80077,BEHENCOURT
080,80078,BELLANCOURT
080,80079,BELLEUSE
080,80080,BELLOY-EN-SANTERRE
080,80081,BELLOY-SAINT-LEONARD
080,80082,BELLOY-SUR-SOMME
080,80083,BERGICOURT
080,80084,BERMESNIL
080,80085,BERNATRE
080,80086,BERNAVILLE
080,80087,BERNAY-EN-PONTHIEU
080,80088,BERNES
080,80089,BERNEUIL
080,80090,BERNY-EN-SANTERRE
080,80092,BERTANGLES
