cddept,inseecommuneprinc,nomcommuneprinc
071,71001,ABERGEMENT-DE-CUISERY (L')
071,71002,ABERGEMENT-SAINTE-COLOMBE (L')
071,71003,ALLEREY-SUR-SAONE
071,71004,ALLERIOT
071,71005,ALUZE
071,71006,AMANZE
071,71007,AMEUGNY
071,71008,ANGLURE-SOUS-DUN
071,71009,ANOST
071,71010,ANTULLY
071,71012,ARTAIX
071,71013,AUTHUMES
071,71014,AUTUN
071,71015,AUXY
071,71016,AZE
071,71017,BALLORE
071,71018,BANTANGES
071,71019,BARIZEY
071,71020,BARNAY
071,71021,BARON
071,71022,BAUDEMONT
071,71023,BAUDRIERES
071,71024,BAUGY
071,71025,BEAUBERY
071,71026,BEAUMONT-SUR-GROSNE
071,71027,BEAUREPAIRE-EN-BRESSE
071,71028,BEAUVERNOIS
071,71029,BELLEVESVRE
071,71030,BERGESSERIN
071,71031,BERZE-LE-CHATEL
071,71032,BERZE-LA-VILLE
071,71033,BEY
071,71034,BISSEY-SOUS-CRUCHAUD
071,71035,BISSY-LA-MACONNAISE
071,71036,BISSY-SOUS-UXELLES
071,71037,BISSY-SUR-FLEY
071,71038,BIZOTS (LES)
071,71039,BLANOT
071,71040,BLANZY
071,71041,BOIS-SAINTE-MARIE
071,71042,BONNAY-SAINT-YTHAIRE
071,71043,BORDES (LES)
071,71044,BOSJEAN
071,71045,BOUHANS
071,71046,BOULAYE (LA)
071,71047,BOURBON-LANCY
071,71048,BOURG-LE-COMTE
071,71050,BOURGVILAIN
071,71051,BOUZERON
071,71052,BOYER
071,71054,BRAGNY-SUR-SAONE
071,71056,BRANGES
071,71057,BRAY
071,71058,BRESSE-SUR-GROSNE
071,71059,BREUIL (LE)
071,71060,BRIANT
071,71061,BRIENNE
071,71062,BRION
071,71063,BROYE
071,71064,BRUAILLES
071,71065,BUFFIERES
071,71066,BURGY
071,71067,BURNAND
071,71068,BURZY
071,71069,BUSSIERES
071,71070,BUXY
071,71071,CERON
071,71072,CERSOT
071,71073,CHAGNY
071,71074,CHAINTRE
071,71075,CHALMOUX
071,71076,CHALON-SUR-SAONE
071,71077,CHAMBILLY
071,71078,CHAMILLY
071,71079,CHAMPAGNAT
071,71080,CHAMPAGNY-SOUS-UXELLES
071,71081,CHAMPFORGEUIL
071,71082,CHAMPLECY
071,71085,CHANGE
071,71086,CHANGY
071,71087,CHAPAIZE
071,71088,CHAPELLE-AU-MANS (LA)
071,71089,CHAPELLE-DE-BRAGNY (LA)
071,71090,CHAPELLE-DE-GUINCHAY (LA)
071,71091,CHAPELLE-DU-MONT-DE-FRANCE (LA)
